"","hhid","pnum","pumsSerialNo","persType","persTypeDetailed","age","gender","industry","schlGrade","educLevel","workPlaceType","workPlaceTaz","workPlaceMaz","schoolType","schoolTaz","schoolMaz","usualCarId","dailyActivityPattern","specEvtParticipant","jointTour1Role","jointTour2role","obPeChauffBund1","obPeChauffBund2","obPeChauffBund3","obRsChauffBund","obPePassBund","obRsPassBund","ibPeChauffBund1","ibPeChauffBund2","ibPeChauffBund3","ibRsChauffBund","ibPePassBund","ibRsPassBund","studentDorm","studentRent","activityString"
"2029508",917317,1,2008001282048,5,15,78,1,0,0,13,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-5-9-8-61-62-0]"
"2029509",917317,2,2008001282048,5,15,76,2,0,0,9,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2031343",918094,1,2007000678400,1,1,40,1,33,0,13,2,2959,22958,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-0-15-15-9-0]"
"2031344",918094,2,2007000678400,1,1,31,2,53,0,13,1,2724,22723,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2046260",925370,1,2010000261120,1,1,44,2,54,0,9,2,2738,22737,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-5-0]"
"2046261",925370,2,2010000261120,1,1,23,1,56,0,9,2,2506,22505,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-15-0-15-0]"
"2047123",925823,1,2011000995840,4,13,63,1,0,0,14,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-9-5-72-5-5-61-8-73-0]"
"2047124",925823,2,2011000995840,1,1,59,2,62,0,13,2,2738,22737,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-15-0-15-15-15-0]"
"2047125",925823,3,2011000995840,6,16,16,2,54,5,5,2,2738,22737,2,2734,22733,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2048204",926503,1,2010000785408,2,4,56,2,45,0,13,1,2736,22735,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0-6-0]"
"2048205",926503,2,2010000785408,1,1,55,1,61,0,16,2,2738,22737,0,0,0,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-9-1-0-8-61-0-6-0]"
"2048741",926796,1,2007000285184,1,1,35,2,81,0,13,2,2790,22789,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-1-0]"
"2048742",926796,2,2007000285184,7,19,12,2,0,4,3,0,0,0,1,2743,22742,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"[0-3-0]"
"2048743",926796,3,2007000285184,1,1,44,2,61,0,14,2,2643,22642,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"[0-412-61-1-412-0]"
"2050913",927801,1,2010999947264,1,1,39,1,51,0,11,2,2742,22741,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-0-15-9-8-15-73-0]"
"2050914",927801,2,2010999947264,1,1,41,2,51,0,13,2,2509,22508,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[0-1-412-412-0]"
"2050915",927801,3,2010999947264,7,19,12,1,0,4,3,0,0,0,1,2758,22757,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0-3-412-0-72-0]"
"2050916",927801,4,2010999947264,7,19,10,1,0,4,2,0,0,0,1,2834,22833,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0-3-0]"
"2051653",928176,1,2007000285184,1,1,65,1,52,0,11,1,2741,22740,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-0]"
"2051654",928176,2,2007000285184,1,1,69,2,44,0,11,2,2522,22521,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-42-5-61-61-0]"
"2051655",928176,3,2007000285184,2,6,21,1,51,6,12,2,2833,22832,2,2736,22735,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-1-72-1-9-0]"
"2053571",929143,1,2008001019904,1,1,70,1,52,0,10,2,2653,22652,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2053572",929143,2,2008001019904,5,15,70,2,0,0,5,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-0]"
"2063539",934118,1,2011000602624,1,1,56,1,54,0,13,2,2338,22337,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2063540",934118,2,2011000602624,1,1,48,2,51,0,11,1,2786,22785,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-8-9-72-73-61-0]"
"2063541",934118,3,2011000602624,4,13,22,2,0,0,10,0,0,0,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0]"
"2065164",934989,1,2011000864768,1,1,40,1,56,0,11,2,2649,22648,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-0-72-15-8-15-0-5-0]"
"2065165",934989,2,2011000864768,6,18,16,1,0,5,6,0,0,0,1,2457,22456,-1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-0-5-0-8-0]"
"2070435",937620,1,2008000233472,2,4,34,2,49,0,9,2,2301,22300,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-42-61-42-42-42-0]"
"2075358",939666,1,2010000261120,3,9,56,1,0,6,11,0,0,0,2,2502,22501,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-61-0]"
