"","uniqueid","jointTripNum","hhid","pnum","userClass","tourNum","tourSubTourNum","personTripNum","tourTripNum","mainTourTripNum","subTourTripNum","jointTourNum","jointTripRole","direction","obBundleNum","ibBundleNum","escortingRole","jointSpecEvtTour","party","origTaz","origMaz","destTaz","destMaz","origPurp","destPurp","mode","prelimDepartInterval","finalDepartMinute","tripDistance","prelimArriveInterval","finalArriveMinute","activityMinutesAtDest","pnrParkTaz","pnrParkMaz","vot","travelTime","hb","tripPurpose"
"2416616",14,0,290668,3,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",327,20326,2048,22047,0,1,1,14,201.58978,28.5,17,238.35979,263.23,0,0,5.20200479388242,36.77001,1,"HBW"
"3598753",5,0,408085,1,2,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",1411,21410,1471,21470,15,15,1,87,1299.4381,3.63,88,1307.5281,4.170044,0,0,12.5349167443746,8.08999999999992,0,"NHB"
"9616959",10,0,1065032,3,3,3,0,6,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",2902,22901,2892,22891,0,73,4,59,866.1172,4.49,59,874.8772,7.23999,0,0,15.7623629676808,8.75999999999999,1,"HBNW"
"7330771",1,0,792547,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2050,22049,3258,3258,0,1,1,12,161.32883,19.19,14,185.78883,568.03,0,0,7.66820714423002,24.46,1,"HBW"
"2405950",30,0,289443,4,3,3,0,6,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",316,20315,452,20451,0,8,14,56,830.9654,0.86,56,848.1654,111.06,0,0,14.2025459052423,17.1999999999999,1,"HBNW"
"7061870",27,0,764587,3,3,3,0,9,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",1973,21972,1979,21978,73,0,4,61,901.123,2.76,61,907.85297,518.80005,0,0,17.8258669917195,6.72996999999998,1,"HBNW"
"7751464",3,0,842075,1,1,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",2720,22719,2488,22487,1,0,5,58,862.6085,17.08,60,940.63855,489.46997,0,0,1.52391057429233,78.03005,1,"HBW"
"4825825",12,0,537922,2,2,2,0,9,5,5,0,0,0,2,0,0,0,0,"[ 2 ]",1388,21387,1339,21338,42,0,3,50,751.757,19.33,53,778.46704,654.82996,0,0,7.84946221545509,26.71004,1,"HBNW"
"9664727",1,0,1069843,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2913,22912,2920,22919,0,5,1,46,674.2527,2.91,46,680.48267,57.96997,0,0,13.0000762582903,6.22996999999998,1,"HBNW"
"6521754",3,0,704168,1,1,1,0,3,3,3,0,0,0,1,0,0,0,0,"[ 1 ]",1826,21825,1826,21825,5,5,1,16,226.40932,0.19,16,226.93932,4.850006,0,0,2.37587961809629,0.530000000000001,0,"NHB"
